step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
1,0.0020000000949949026,3.5762786865234375e-06,0.0,0.0,123.99607849121094,0.0,0.0,-1.9619643688201904,inf
2,0.004000000189989805,0.006129264831542969,1.0387418464437304e-13,-1.2921584809089115e-11,123.98847961425781,-1.237702440537447e-10,1.693297835281271e-09,-3.7761051654815674,1032784.1927710843
3,0.006000000284984708,0.011584758758544922,3.783994330982393e-15,-3.412244445333279e-12,123.97747802734375,-1.513299208166785e-11,4.855308155526927e-09,-5.446526050567627,421924.9614438064
4,0.00800000037997961,0.018593311309814453,-6.304439121359445e-14,5.663613675266355e-12,123.96333312988281,1.879993036246752e-11,2.528266485057884e-10,-6.981159687042236,239667.5340167754
5,0.010000000474974513,0.023903369903564453,-5.040672740319607e-15,2.3641855834144465e-11,123.94621276855469,-1.547572486826354e-11,-1.4331816844403988e-09,-8.426201820373535,157382.65850673197
6,0.012000000569969416,0.029308557510375977,1.103630750155793e-12,-1.3724806013915014e-10,123.92627716064453,-1.0425224052090787e-11,1.0463334643162625e-09,-9.793643951416016,112433.3868182315
7,0.014000000664964318,0.035299062728881836,-2.500325033821804e-12,9.092276931355059e-11,123.9036865234375,2.318923664201833e-10,2.1700055086171233e-08,-11.083418846130371,84942.44888521882
8,0.01600000075995922,0.041219234466552734,-1.4394341621426499e-11,1.8628296682976497e-09,123.87860107421875,1.2869330601184004e-11,2.886256567080636e-09,-12.29315185546875,66804.32887387973
9,0.018000000854954123,0.11182117462158203,-2.4769415685188534e-11,5.822234250274505e-09,123.8511734008789,-5.0158128518662526e-12,1.1020814261186729e-09,-13.419713973999023,54159.58805875849
10,0.020000000949949026,0.11729145050048828,-1.9574940626765347e-11,1.2199045329452929e-08,123.82158660888672,1.969520466854613e-12,-3.7102094729846158e-09,-14.459944725036621,44976.30431550872
11,0.02200000104494393,0.12317752838134766,1.5317492066402316e-11,2.0972247938289e-08,123.79000091552734,-2.936760210014988e-11,2.7616513520456465e-09,-15.412781715393066,38082.74614046129
12,0.02400000113993883,0.12857365608215332,9.026240865850355e-11,3.2025432972204726e-08,123.75659942626953,-4.8055514428879675e-11,-1.4970358286348073e-09,-16.276264190673828,32771.13179776355
13,0.026000001234933734,0.13498139381408691,2.1270336880707674e-10,4.5154052941143163e-08,123.72156524658203,-1.997924048424693e-11,3.627882438905772e-10,-17.051239013671875,28588.784525166062
14,0.028000001329928637,0.14093804359436035,3.8581499106626893e-10,6.011880060441399e-08,123.68506622314453,-5.033418126743072e-11,-2.5323004804178595e-10,-17.7391414642334,25233.73128909604
15,0.03000000142492354,0.14629292488098145,6.102646166183945e-10,7.670124091418984e-08,123.64727783203125,-4.460023669827784e-11,2.655082598224112e-09,-18.341798782348633,22499.957478454875
16,0.03200000151991844,0.15254712104797363,8.858880851114748e-10,9.467736106216762e-08,123.60836791992188,-1.501895829925104e-12,6.085549397738532e-09,-18.861541748046875,20241.90357747255
17,0.034000001614913344,0.17815899848937988,1.2111465164110768e-09,1.1381695230738842e-07,123.56849670410156,-2.4012573179854613e-11,2.727905235033745e-09,-19.30181884765625,18354.38327028763
18,0.03600000170990825,0.1842052936553955,1.5828816035678983e-09,1.338912340997922e-07,123.52782440185547,-3.567660403214212e-11,3.115695701438881e-09,-19.665925979614258,16760.131258655805
19,0.03800000180490315,0.18969011306762695,1.9960442187993976e-09,1.5474174119844974e-07,123.48650360107422,1.0254942728327165e-11,1.0039792996963115e-08,-19.957256317138672,15401.072839154978
