step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
1,0.0020000000949949026,6.4373016357421875e-06,0.0,0.0,123.99607849121094,0.0,0.0,-1.9619688987731934,inf
2,0.004000000189989805,0.006877422332763672,1.5261296187289025e-13,-1.8935701964761797e-11,123.98857879638672,-1.8025236858676408e-10,2.4654858155059856e-09,-3.7254772186279297,654026.6124109868
3,0.006000000284984708,0.013298749923706055,8.462455454265327e-15,-5.2694454702462146e-12,123.97784423828125,-2.1989557744128696e-11,7.069457907959986e-09,-5.303418159484863,268999.230125523
4,0.00800000037997961,0.020091533660888672,-8.8115068898071e-14,7.90122394594972e-12,123.9642105102539,2.7390456222575743e-11,3.672900872331297e-10,-6.710455417633057,153916.24610964808
5,0.010000000474974513,0.027007102966308594,6.801762657878546e-15,3.326743741594029e-11,123.9478759765625,-2.253767311666266e-11,-2.0885921880875458e-09,-8.01205825805664,101758.17663817665
6,0.012000000569969416,0.033905982971191406,1.609552985684659e-12,-2.0073109840978987e-10,123.92902374267578,-1.522173012635797e-11,1.5182527457469064e-09,-9.22684383392334,73149.18193196041
7,0.014000000664964318,0.040853261947631836,-3.684968996608973e-12,1.4032036643740753e-10,123.90782928466797,3.380299096189532e-10,3.1632932717684525e-08,-10.354787826538086,55581.236275611656
8,0.01600000075995922,0.04671955108642578,-2.0719786997247525e-11,2.698897771935549e-09,123.88446807861328,1.8638821389083127e-11,4.1904386627322765e-09,-11.393797874450684,43947.51247522046
9,0.018000000854954123,0.09828853607177734,-3.4938663073802445e-11,8.327582179390447e-09,123.85912322998047,-7.179816203378708e-12,1.5730454716589293e-09,-12.340147972106934,35814.615341763696
10,0.020000000949949026,0.10437154769897461,-2.6307230699407214e-11,1.727392984207654e-08,123.83197784423828,1.2659843876342003e-12,-5.299509275857872e-09,-13.190864562988281,29890.192942489193
11,0.02200000104494393,0.11107349395751953,2.4687835109560297e-11,2.9435959447710047e-08,123.80323028564453,-4.1597496280854074e-11,3.983213314739942e-09,-13.944430351257324,25434.512006962854
12,0.02400000113993883,0.11659598350524902,1.3169290657977228e-10,4.459335301021383e-08,123.7730712890625,-7.05930383593234e-11,-2.386791431163715e-09,-14.600961685180664,21994.805336982554
13,0.026000001234933734,0.12216830253601074,3.0400282291509484e-10,6.241532446438214e-08,123.74169921875,-3.3088285583682264e-11,8.027349340800072e-10,-15.161335945129395,19282.231419830845
14,0.028000001329928637,0.12870025634765625,5.447740036856885e-10,8.2537454204612e-08,123.70929718017578,-6.465824403667497e-11,1.4989050001190662e-09,-15.628570556640625,17103.62499667456
15,0.03000000142492354,0.13404202461242676,8.537787143936271e-10,1.0463706701102637e-07,123.67605590820312,-8.977601648196831e-12,3.233852075013033e-09,-16.005796432495117,15327.043341438994
16,0.03200000151991844,0.14047884941101074,1.2297257656612715e-09,1.283917043792826e-07,123.64214324951172,-4.2480872985972695e-11,1.8164606485626678e-09,-16.297842025756836,13858.46737513742
17,0.034000001614913344,0.1668078899383545,1.669861249276039e-09,1.5348123838521133e-07,123.60773468017578,-2.1283408369043855e-10,2.6810308639824143e-08,-16.50843048095703,12630.560499793719
18,0.03600000170990825,0.17242789268493652,2.16853424106489e-09,1.795916233504613e-07,123.5729751586914,-6.239393723905806e-11,3.864096154160279e-09,-16.642871856689453,11592.91270714247
19,0.03800000180490315,0.17867326736450195,2.7191453533248477e-09,2.0649368082104047e-07,123.53802490234375,-7.336219132181299e-11,6.625950899064037e-09,-16.705915451049805,10708.354042439789
20,0.04000000189989805,0.1841590404510498,3.3140157285060923e-09,2.34028377121831e-07,123.50301361083984,-5.610152273294311e-11,4.830337241301663e-10,-16.702058792114258,9947.980874866544
21,0.042000001994892955,0.1911451816558838,3.946829085776926e-09,2.6205472636320337e-07,123.46807098388672,-7.600321760836692e-11,3.055648789551668e-10,-16.636430740356445,9289.640643287528
22,0.04400000208988786,0.19686508178710938,4.613419868348956e-09,2.9042573146398354e-07,123.43331909179688,-1.2660586468093982e-10,1.1995300752687399e-08,-16.512527465820312,8715.980586209702
23,0.04600000218488276,0.20201539993286133,5.309462203229032e-09,3.1896880159365537e-07,123.39887237548828,-1.0226999802576131e-10,5.392503332757315e-09,-16.333967208862305,8213.244758996896
